City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ulsteinvik,62.3432,5.8487,279.99,93,100,3.21,NO,1731370127
1,bayanhongor,46.7167,100.1167,257.54,84,28,1.76,MN,1731370128
2,iqaluit,63.7506,-68.5145,262.98,85,97,0.89,CA,1731370130
3,kayenta,36.7278,-110.2546,284.89,30,5,1.53,US,1731370131
4,margaret river,-33.95,115.0667,289.28,67,99,4.72,AU,1731370132
5,windsor,42.3001,-83.0165,283.16,67,20,11.32,CA,1731369840
6,kodiak,57.79,-152.4072,278.88,45,0,3.6,US,1731370093
7,newman,37.3138,-121.0208,285.95,82,75,2.6,US,1731370137
8,iskushuban,10.2837,50.23,295.99,83,18,4.35,SO,1731370138
9,vorgashor,67.5833,63.95,257.87,95,100,3.51,RU,1731370139
10,grytviken,-54.2811,-36.5092,272.8,92,93,4.76,GS,1731370141
11,medicine hat,50.0501,-110.6683,284.38,58,99,1.79,CA,1731370134
12,port-aux-francais,-49.35,70.2167,278.02,92,100,6.11,TF,1731370143
13,bahia de caraquez,-0.6,-80.4167,295.73,77,30,3.98,EC,1731370144
14,nova sintra,14.8667,-24.7167,300.22,69,1,7.08,CV,1731370145
15,walvis bay,-22.9575,14.5053,286.43,91,0,0.97,NA,1731370146
16,bilibino,68.0546,166.4372,249.08,98,70,1.86,RU,1731370148
17,veraval,20.9,70.3667,298.5,48,1,3.76,IN,1731370149
18,yamada,39.4667,141.95,283.62,64,100,1.07,JP,1731370150
19,thompson,55.7435,-97.8558,268.46,78,71,2.59,CA,1731370152
20,weno,7.4515,151.8468,299.12,94,100,3.09,FM,1731370154
21,olonkinbyen,70.9221,-8.7187,273.51,96,100,7.93,SJ,1731370155
22,bethel,41.3712,-73.414,287.56,66,0,0.45,US,1731370156
23,port hueneme,34.1478,-119.1951,292.55,75,20,7.2,US,1731370097
24,avarua,-21.2078,-159.775,298.18,57,75,6.69,CK,1731370158
25,codrington,-38.2667,141.9667,291.22,61,98,1.52,AU,1731370160
26,edinburgh of the seven seas,-37.0676,-12.3116,286.24,78,100,6.92,SH,1731370161
27,konstantinovka,49.6167,127.9833,267.36,96,91,2.09,RU,1731369878
28,georgetown,5.4112,100.3354,300.11,87,20,0.89,MY,1731370163
29,akureyri,65.6835,-18.0878,287.33,79,100,11.14,IS,1731370160
30,puerto ayora,-0.7393,-90.3518,295.12,86,50,2.68,EC,1731370165
31,waiuku,-37.25,174.75,293.96,48,51,3.52,NZ,1731370167
32,lerwick,60.1545,-1.1494,283.04,84,100,4.68,GB,1731370168
33,anadyr,64.75,177.4833,260.43,84,0,4.92,RU,1731370169
34,boyolangu,-8.1181,111.8935,299.88,80,100,1.22,ID,1731369944
35,longyearbyen,78.2186,15.6401,273.06,100,75,2.57,SJ,1731370172
36,saint-joseph,-21.3667,55.6167,295.36,84,48,4.33,RE,1731370173
37,lompoc,34.6391,-120.4579,287.55,85,100,6.17,US,1731370174
38,stanley,54.868,-1.6985,279.42,91,78,1.03,GB,1731370175
39,tyumentsevo,53.3224,81.498,263.98,88,95,6.61,RU,1731370176
40,qamdo,31.1667,97.2333,270.92,65,96,2.18,CN,1731370073
41,thunder bay,48.4001,-89.3168,273.14,69,20,4.63,CA,1731369886
42,carnarvon,-24.8667,113.6333,295.57,54,15,9.19,AU,1731370180
43,zhigalovo,54.8097,105.1578,267.2,77,85,0.37,RU,1731370181
44,papatowai,-46.5619,169.4708,288.26,49,13,4.53,NZ,1731370182
45,waitangi,-43.9535,-176.5597,283.98,72,67,7.96,NZ,1731370183
46,vilyuysk,63.7553,121.6247,256.66,99,99,1.25,RU,1731370184
47,talnakh,69.4865,88.3972,245.04,91,49,0.86,RU,1731370185
48,blackmans bay,-43.0167,147.3167,291.77,45,31,2.27,AU,1731370187
49,yellowknife,62.456,-114.3525,265.6,98,100,3.13,CA,1731370188
50,west island,-12.1568,96.8225,300.14,78,100,6.17,CC,1731370189
51,kertih,4.5141,103.4483,298.2,94,100,1.68,MY,1731370190
52,labytnangi,66.6572,66.4183,258.2,95,100,3.94,RU,1731370192
53,puerto natales,-51.7236,-72.4875,280.44,85,78,5.15,CL,1731370193
54,vanersborg,58.3807,12.3234,278.12,96,100,2.57,SE,1731370194
55,hani,38.4167,40.4,281.67,74,53,2.94,TR,1731370195
56,bredasdorp,-34.5322,20.0403,287.13,89,19,1.23,ZA,1731370196
57,homer,59.6425,-151.5483,276.09,77,0,3.6,US,1731370198
58,balasore,21.4942,86.9317,293.63,72,62,2.94,IN,1731370199
59,pavlodar,52.3,76.95,264.04,86,100,8.0,KZ,1731370200
60,port mathurin,-19.6833,63.4167,297.35,80,76,9.63,MU,1731370201
61,khor,47.8861,134.9464,270.93,80,100,3.29,RU,1731370202
62,coari,-4.085,-63.1414,302.35,54,100,1.22,BR,1731369958
63,nelson bay,-32.7167,152.15,292.64,100,100,1.79,AU,1731370205
64,naze,28.3667,129.4833,296.18,81,80,4.18,JP,1731370206
65,mehendiganj,22.8167,90.5333,297.03,69,100,3.25,BD,1731369974
66,lebu,-37.6167,-73.65,284.95,73,85,7.19,CL,1731370209
67,mejit,10.2753,170.8646,301.85,74,73,6.46,MH,1731370210
68,phnom penh,11.5625,104.916,299.1,100,20,0.51,KH,1731370211
69,isafjordur,66.0755,-23.124,282.3,89,100,10.47,IS,1731370212
70,berezovyy,51.6667,135.7,266.44,57,100,0.78,RU,1731370213
71,zouerate,22.7187,-12.4521,295.85,12,32,0.79,MR,1731370214
72,petropavlovsk-kamchatsky,53.0452,158.6483,275.48,52,75,3.0,RU,1731370216
73,plouguerneau,48.6,-4.5,281.51,93,0,1.54,FR,1731370217
74,seryshevo,51.0933,128.3786,263.77,81,70,2.3,RU,1731370218
75,adamstown,-25.066,-130.1015,294.91,64,91,0.87,PN,1731370219
76,tres palos,18.1833,-101.6167,298.4,88,33,2.18,MX,1731370220
77,borba,-4.3878,-59.5939,300.37,69,100,1.63,BR,1731370222
78,badger,64.8,-147.5333,257.49,78,75,0.0,US,1731370223
79,neryungri,56.6709,124.6491,250.19,96,41,1.11,RU,1731370224
80,pizarro,4.9533,-77.366,297.68,79,45,2.21,CO,1731370225
81,kerikeri,-35.2268,173.9474,292.96,57,23,4.36,NZ,1731370227
82,souillac,-20.5167,57.5167,297.36,73,20,3.09,MU,1731370229
83,qaqortoq,60.7167,-46.0333,271.65,81,100,9.95,GL,1731370230
84,kayangel,8.0823,134.7173,302.09,70,37,4.06,PW,1731370231
85,dudinka,69.4058,86.1778,249.59,93,47,5.71,RU,1731370233
86,touros,-5.1989,-35.4608,299.53,71,97,4.48,BR,1731370234
87,kruisfontein,-34.0033,24.7314,286.39,93,0,1.51,ZA,1731370235
88,redwood falls,44.5394,-95.1169,278.12,60,0,0.0,US,1731370001
89,wladyslawowo,54.7909,18.4009,276.45,73,8,1.72,PL,1731370239
90,arraial do cabo,-22.9661,-42.0278,295.96,82,0,9.51,BR,1731370153
91,kyzyl,51.7,94.45,270.55,58,83,0.97,RU,1731370241
92,kelso,46.1468,-122.9084,284.25,87,100,5.66,US,1731370242
93,fort bragg,35.139,-79.006,292.06,91,0,2.06,US,1731370243
94,tamanrasset,22.785,5.5228,285.1,32,0,1.03,DZ,1731370245
95,usinsk,65.9939,57.5281,265.99,96,100,3.06,RU,1731370246
96,hawaiian paradise park,19.5933,-154.9731,296.98,88,13,0.89,US,1731370247
97,murghob,38.1702,73.9667,262.95,56,4,2.9,TJ,1731370248
98,aasiaat,68.7098,-52.8699,270.68,78,100,8.11,GL,1731370249
99,miguel ahumada,30.6167,-106.5167,293.54,14,33,5.39,MX,1731370251
100,ilulissat,69.2167,-51.1,269.16,74,100,4.96,GL,1731370252
101,ushuaia,-54.8,-68.3,280.96,81,75,1.54,AR,1731370235
102,ingeniero guillermo n. juarez,-23.9,-61.85,296.47,57,9,9.45,AR,1731370254
103,port saint john's,-31.6229,29.5448,290.98,87,100,1.63,ZA,1731370255
104,grants pass,42.439,-123.3284,284.21,78,100,2.06,US,1731370257
105,osmancik,40.9782,34.8047,280.4,89,5,0.79,TR,1731370258
106,selendi,38.7444,28.8678,280.58,70,2,1.62,TR,1731370259
107,utrik,11.2278,169.8474,301.63,77,16,7.28,MH,1731370260
108,puli,23.9664,120.9695,296.37,78,100,2.04,TW,1731370261
109,crane,31.3974,-102.3501,294.15,30,85,4.56,US,1731370262
110,san antonio de pale,-1.4014,5.6325,299.05,84,76,4.21,GQ,1731370263
111,nagqu,31.5,92.0,268.03,40,44,1.18,CN,1731370265
112,svetlyy,54.675,20.1347,272.66,81,0,1.31,RU,1731370074
113,forbes,-33.3833,148.0167,298.55,36,67,2.95,AU,1731370268
114,nemuro,43.3236,145.575,280.76,69,78,5.85,JP,1731370269
115,faaborg,55.0951,10.2423,281.89,92,100,3.6,DK,1731370271
116,nyurba,63.2842,118.3319,254.76,99,93,1.21,RU,1731370272
117,semera,11.501,41.201,296.2,60,85,4.9,ET,1731370273
118,shache,38.4167,77.2406,279.62,66,54,2.01,CN,1731370275
119,pires do rio,-17.2997,-48.2794,294.99,86,57,1.76,BR,1731370276
120,wailua homesteads,22.0669,-159.378,298.59,93,100,4.12,US,1731370277
121,gadzhiyevo,69.2551,33.3362,275.51,88,100,7.77,RU,1731370278
122,north bend,43.4065,-124.2243,286.1,76,40,6.17,US,1731370279
123,miles city,46.4083,-105.8406,281.69,66,0,8.23,US,1731370280
124,punta arenas,-53.15,-70.9167,283.21,71,75,7.2,CL,1731370011
125,praia da vitoria,38.7333,-27.0667,292.57,92,100,8.96,PT,1731370283
126,saipan,15.1355,145.701,303.54,82,75,5.66,MP,1731370111
127,parakou,9.3372,2.6303,296.31,43,24,1.63,BJ,1731370285
128,naifaru,5.4444,73.3657,301.15,68,64,2.12,MV,1731370286
129,tabou,4.423,-7.3528,299.11,85,2,2.99,CI,1731370288
130,gamay,12.3854,125.2979,300.31,89,73,1.5,PH,1731370290
131,lihue,21.9789,-159.3672,298.92,97,100,4.12,US,1731370292
132,enewetak,11.3474,162.3373,301.73,79,36,7.54,MH,1731370294
133,bowen,-20.0167,148.2333,300.34,59,14,4.24,AU,1731370125
134,howrah,22.5892,88.3103,296.15,83,40,2.06,IN,1731370296
135,hamilton,39.1834,-84.5333,287.25,75,0,2.06,US,1731370152
136,borogontsy,62.6683,131.1683,254.43,98,99,1.52,RU,1731370150
137,holualoa,19.6228,-155.9522,300.28,73,0,4.63,US,1731370299
138,isangel,-19.55,169.2667,302.21,70,75,3.09,VU,1731370301
139,bikenibeu village,1.3673,173.1241,301.38,67,16,5.25,KI,1731370302
140,martapura,-3.4167,114.85,297.2,94,75,1.03,ID,1731370303
141,kittila,67.6647,24.8936,271.23,93,100,2.06,FI,1731370304
142,khovd,48.0056,91.6419,272.77,45,100,2.62,MN,1731370305
143,hilo,19.7297,-155.09,297.1,93,11,0.89,US,1731370306
144,faya-largeau,17.9257,19.1043,294.51,27,3,6.67,TD,1731370308
145,binghamton,42.0987,-75.918,285.93,74,100,4.12,US,1731370249
146,supe,-10.8,-77.7333,291.84,84,38,3.9,PE,1731370310
147,ismailia,30.6043,32.2723,289.79,80,38,3.19,EG,1731370311
148,manadhoo,5.7667,73.3833,301.18,68,66,2.18,MV,1731370312
149,constantia,44.1833,28.65,277.53,80,100,6.74,RO,1731370313
150,lagunas,-5.2269,-75.6753,302.86,58,92,1.05,PE,1731370315
151,nago,26.5881,127.9761,298.25,86,91,4.69,JP,1731370316
152,ulladulla,-35.35,150.4667,293.5,75,82,3.18,AU,1731370317
153,kill devil hills,36.0307,-75.676,293.7,87,40,4.12,US,1731370318
154,swainsboro,32.5974,-82.3337,293.18,83,75,0.0,US,1731370319
155,kone,-21.0595,164.8658,304.93,38,10,3.37,NC,1731370320
156,bodaybo,57.8506,114.1933,262.44,90,100,1.1,RU,1731370216
157,sitka,57.0531,-135.33,281.09,76,75,0.0,US,1731370323
158,sao jose da coroa grande,-8.8978,-35.1478,298.61,78,86,5.41,BR,1731370324
159,tokar,18.4254,37.729,301.41,74,13,5.95,SD,1731370325
160,albany,42.6001,-73.9662,287.36,59,34,0.89,US,1731370073
161,road town,18.4167,-64.6167,300.16,79,100,8.29,VG,1731370328
162,terrace,54.5163,-128.6035,277.42,98,100,0.19,CA,1731370329
163,carbonear,47.7332,-53.2148,280.56,88,99,5.44,CA,1731370330
164,puerto baquerizo moreno,-0.9,-89.6,294.18,72,68,4.93,EC,1731370331
165,todos santos,23.45,-110.2167,298.4,65,72,3.58,MX,1731370332
166,afaahiti,-17.75,-149.2833,296.59,85,99,7.88,PF,1731370334
167,tucuma,-0.1833,-50.05,300.64,78,100,4.21,BR,1731370335
168,mineiros,-17.5694,-52.5511,297.06,70,40,1.02,BR,1731370297
169,embi,48.8264,58.1442,267.36,73,24,1.92,KZ,1731370337
170,ixtapa,20.7,-105.2,301.72,70,0,4.12,MX,1731370338
171,happy valley-goose bay,53.3168,-60.3315,272.32,74,100,3.6,CA,1731370339
172,jais,26.25,81.5333,294.56,54,1,1.27,IN,1731370340
173,bonthe,7.5264,-12.505,299.68,81,9,1.3,SL,1731370342
174,zhenzhou,32.2692,119.1789,289.76,75,0,2.57,CN,1731370343
175,ancud,-41.8697,-73.8203,283.57,87,100,4.09,CL,1731370344
176,fortuna,40.5982,-124.1573,288.11,75,75,0.0,US,1731370347
177,port elizabeth,-33.918,25.5701,290.55,97,1,0.89,ZA,1731370348
178,coquimbo,-29.9533,-71.3436,288.14,70,0,3.6,CL,1731370349
179,kampong thom,12.7111,104.8887,297.8,87,100,1.57,KH,1731370350
180,dunedin,-45.8742,170.5036,285.98,62,0,4.12,NZ,1731370351
181,porto velho,-8.7619,-63.9039,302.18,79,40,1.03,BR,1731370259
182,arteche,12.2645,125.4048,300.56,87,76,1.34,PH,1731370354
183,katsuura,35.1333,140.3,291.67,71,41,1.07,JP,1731370198
184,zaigrayevo,51.8336,108.2703,263.74,89,99,1.9,RU,1731370356
185,tual,-5.6667,132.75,301.41,72,100,4.72,ID,1731370357
186,gargalianoi,37.0667,21.6333,287.41,70,100,4.61,GR,1731370358
187,vredendal,-31.6683,18.5012,289.36,79,21,1.8,ZA,1731370360
188,merizo village,13.2658,144.6691,303.36,85,96,3.08,GU,1731370361
189,kavieng,-2.5744,150.7967,302.68,67,25,3.45,PG,1731370362
190,bathsheba,13.2167,-59.5167,302.49,70,40,8.75,BB,1731370363
191,whitehorse,60.7161,-135.0538,271.54,86,100,0.89,CA,1731370364
192,kaohsiung,22.6163,120.3133,298.17,96,75,1.03,TW,1731370275
193,teodoro sampaio,-22.5325,-52.1675,299.41,55,23,1.87,BR,1731370367
194,bairnsdale,-37.8333,147.6167,294.29,68,57,1.34,AU,1731370368
195,prieska,-29.6641,22.7474,290.91,50,0,5.69,ZA,1731370369
196,geraldton,-28.7667,114.6,292.38,63,0,7.72,AU,1731370370
197,keflavik,64.0049,-22.5624,283.39,100,100,16.46,IS,1731370371
198,costa rica,-23.4167,-54.65,299.81,45,3,2.5,BR,1731370195
199,port lincoln,-34.7333,135.8667,292.84,68,15,4.17,AU,1731370374
200,huron,41.1501,-82.5499,284.22,73,49,8.17,US,1731370375
201,russkaya polyana,49.417,31.9201,274.76,83,70,2.14,UA,1731370376
202,hermanus,-34.4187,19.2345,289.15,81,46,3.38,ZA,1731370377
203,kem',64.9555,34.5793,272.52,89,83,3.82,RU,1731370378
204,vernon,50.2581,-119.2691,281.35,84,100,1.79,CA,1731370380
205,ribeira grande,38.5167,-28.7,294.14,95,95,10.28,PT,1731370381
206,kendari,-3.945,122.4989,300.69,82,99,0.27,ID,1731370229
207,port-gentil,-0.7193,8.7815,299.21,86,92,4.78,GA,1731370384
208,aykhal,66.0,111.5,256.38,99,100,2.45,RU,1731370386
209,iskateley,67.6803,53.1512,266.06,98,100,2.41,RU,1731370387
210,bandundu,-3.3167,17.3667,294.98,94,5,0.49,CD,1731370388
211,dori,14.0354,-0.0345,296.95,17,0,3.79,BF,1731370389
212,mount gambier,-37.8333,140.7667,291.07,72,79,3.11,AU,1731370390
213,uturoa,-16.7333,-151.4333,299.44,81,82,8.11,PF,1731370391
214,la grange,33.0393,-85.0313,293.36,88,75,0.0,US,1731370393
215,nuuk,64.1835,-51.7216,270.49,100,100,3.09,GL,1731370394
216,archangelos,36.2149,28.1149,288.88,79,65,2.5,GR,1731370395
217,inarajan village,13.2736,144.7484,303.59,85,92,3.17,GU,1731370396
218,klyuchi,52.2667,79.1667,265.68,80,97,6.79,RU,1731370397
219,icano,-28.9193,-65.3282,289.66,60,10,3.53,AR,1731370399
220,morant bay,17.8815,-76.4093,299.78,84,91,2.7,JM,1731370400
221,egilsstadir,65.2653,-14.3948,282.23,93,100,8.62,IS,1731370401
222,kingston,17.997,-76.7936,298.24,94,100,1.1,JM,1731370299
223,colonia,50.9333,6.95,282.66,92,75,1.54,DE,1731370213
224,alice springs,-23.7,133.8833,296.9,69,97,2.57,AU,1731370404
225,meadow lakes,61.6247,-149.6011,271.71,82,0,0.0,US,1731370406
226,ola,59.5833,151.2833,260.67,71,100,5.85,RU,1731370407
227,alesund,62.4723,6.1549,280.0,93,100,2.57,NO,1731370408
228,severo-yeniseyskiy,60.3725,93.0408,256.45,97,71,2.09,RU,1731370409
229,bakchar,57.0186,82.0711,262.09,87,100,4.83,RU,1731370410
230,hudiksvall,61.729,17.1036,275.44,83,38,3.1,SE,1731370411
231,mankera,31.3866,71.4407,293.7,49,0,3.67,PK,1731370413
232,masina,-4.3836,15.3914,294.7,96,8,0.66,CD,1731370414
233,kamloops,50.6665,-120.3192,282.36,65,100,2.24,CA,1731370256
234,mulayjah,27.271,48.4242,297.41,34,42,2.63,SA,1731370416
235,college,64.8569,-147.8028,257.54,80,75,0.0,US,1731370417
236,invercargill,-46.4,168.35,288.72,57,14,5.81,NZ,1731370418
237,bawshar,23.5556,58.3989,297.8,47,0,1.54,OM,1731370420
238,cabo san lucas,22.8909,-109.9124,300.32,62,20,4.63,MX,1731370421
239,vershino-darasunskiy,52.35,115.5167,257.27,96,8,1.53,RU,1731370422
240,alofi,-19.0595,-169.9187,295.09,94,75,7.2,NU,1731370423
241,laela,-8.5667,32.05,291.04,78,75,1.46,TZ,1731370424
242,wamba,8.9333,8.6,296.61,36,65,1.98,NG,1731370425
243,bossangoa,6.4926,17.4552,295.06,66,20,0.71,CF,1731370427
244,poxoreo,-15.8372,-54.3892,298.15,83,96,0.8,BR,1731370428
245,st. john's,47.5649,-52.7093,280.36,89,100,1.34,CA,1731370153
246,teofilo otoni,-17.8575,-41.5053,294.24,90,95,2.38,BR,1731370430
247,prince rupert,54.3161,-130.3201,280.2,81,100,2.57,CA,1731370431
248,patacamaya,-17.2333,-67.9167,284.95,59,92,3.61,BO,1731370433
249,den burg,53.0542,4.7972,284.14,87,75,6.17,NL,1731370434
250,patterson,37.4716,-121.1297,286.54,82,77,3.23,US,1731370284
251,swift current,50.2834,-107.8014,280.84,62,100,9.96,CA,1731370436
252,nanao,37.05,136.9667,289.72,75,100,1.04,JP,1731370437
253,udachny,66.4167,112.4,249.02,100,100,1.72,RU,1731370439
254,slave lake,55.2834,-114.769,272.8,91,98,2.55,CA,1731370440
255,hadibu,12.65,54.0333,298.53,83,34,3.71,YE,1731370441
256,harper,4.375,-7.7169,299.08,85,3,3.61,LR,1731370442
257,tazovsky,67.4667,78.7,249.05,96,90,5.42,RU,1731370444
258,tura,25.5198,90.2201,290.77,92,1,1.66,IN,1731370445
259,minas de marcona,-15.2119,-75.1103,288.04,77,74,4.98,PE,1731370446
260,umm kaddadah,13.6017,26.6876,296.39,22,0,7.03,SD,1731370447
261,balabac,7.9868,117.0645,301.07,77,93,0.91,PH,1731370449
262,harpanahalli,14.8,75.9833,293.21,66,54,2.28,IN,1731370450
263,new norfolk,-42.7826,147.0587,292.43,32,3,1.52,AU,1731370451
264,huatabampo,26.8333,-109.6333,298.16,39,35,5.95,MX,1731370453
265,puerto deseado,-47.7503,-65.8938,288.15,41,100,5.88,AR,1731370455
266,sandwich,41.6459,-88.6217,280.46,67,0,5.14,US,1731370456
267,tolanaro,-25.0319,46.9987,296.54,81,84,1.77,MG,1731370266
268,hami,42.8,93.45,277.83,62,67,0.28,CN,1731370459
269,olinda,-8.0089,-34.8553,300.0,74,40,3.09,BR,1731370460
270,hotan,37.0997,79.9269,281.24,54,100,2.2,CN,1731370461
271,mount isa,-20.7333,139.5,310.02,22,82,4.12,AU,1731370462
272,paradip garh,20.3167,86.6167,296.78,72,76,3.91,IN,1731370463
273,micheweni,-4.9667,39.8333,299.22,84,42,2.52,TZ,1731370464
274,port-cartier,50.0334,-66.8654,273.86,99,100,4.12,CA,1731370275
275,kingaroy,-26.5333,151.8333,296.41,71,100,4.67,AU,1731370467
276,hammerfest,70.6634,23.6821,278.4,93,100,1.54,NO,1731370304
277,la'ie,21.6477,-157.9253,302.13,80,16,4.02,US,1731370469
278,yuzhno-kurilsk,44.0306,145.8556,280.1,68,62,3.89,RU,1731370470
279,paros,37.0833,25.15,289.43,69,10,6.87,GR,1731370471
280,coahuayana de hidalgo,18.7,-103.6583,299.63,81,25,1.41,MX,1731370473
